departure_time,arrival_time,edge,origin,dest,predicted_time,actual_time,congestion_ratio,is_congested
0,4,5->0,5,0,4,4,1.0,False
0,4,5->0,5,0,4,4,1.0,False
0,4,5->0,5,0,4,4,1.0,False
0,4,5->0,5,0,4,4,1.0,False
0,4,5->0,5,0,4,4,1.0,False
0,4,5->0,5,0,4,4,1.0,False
0,4,7->0,7,0,4,4,1.0,False
0,4,7->0,7,0,4,4,1.0,False
0,4,7->0,7,0,4,4,1.0,False
0,4,7->0,7,0,4,4,1.0,False
0,4,7->0,7,0,4,4,1.0,False
0,4,7->0,7,0,4,4,1.0,False
0,4,7->0,7,0,4,4,1.0,False
0,4,7->0,7,0,4,4,1.0,False
0,4,7->0,7,0,4,4,1.0,False
0,4,7->0,7,0,4,4,1.0,False
0,5,5->0,5,0,4,5,1.25,True
0,5,5->0,5,0,4,5,1.25,True
0,5,5->0,5,0,4,5,1.25,True
0,5,7->0,7,0,4,5,1.25,True
0,5,7->0,7,0,4,5,1.25,True
0,5,7->0,7,0,4,5,1.25,True
1,5,7->0,7,0,4,4,1.0,False
1,5,7->0,7,0,4,4,1.0,False
1,5,7->0,7,0,4,4,1.0,False
0,6,5->0,5,0,4,6,1.5,True
0,6,7->0,7,0,4,6,1.5,True
1,6,5->0,5,0,4,5,1.25,True
1,6,5->0,5,0,4,5,1.25,True
1,6,5->0,5,0,4,5,1.25,True
1,6,5->0,5,0,4,5,1.25,True
1,6,7->0,7,0,4,5,1.25,True
2,6,0->7,0,7,4,4,1.0,False
5,8,0->7,0,7,4,3,0.75,False
5,9,0->7,0,7,4,4,1.0,False
6,9,0->7,0,7,4,3,0.75,False
6,10,0->7,0,7,4,4,1.0,False
6,10,0->7,0,7,4,4,1.0,False
6,10,0->7,0,7,4,4,1.0,False
6,10,0->7,0,7,4,4,1.0,False
6,10,0->7,0,7,4,4,1.0,False
6,10,0->7,0,7,4,4,1.0,False
6,11,0->7,0,7,4,5,1.25,True
6,11,0->7,0,7,4,5,1.25,True
6,11,0->7,0,7,4,5,1.25,True
6,11,0->7,0,7,4,5,1.25,True
6,11,0->7,0,7,4,5,1.25,True
8,12,0->7,0,7,4,4,1.0,False
8,12,0->7,0,7,4,4,1.0,False
8,12,0->7,0,7,4,4,1.0,False
11,14,0->7,0,7,4,3,0.75,False
11,15,0->7,0,7,4,4,1.0,False
11,15,0->7,0,7,4,4,1.0,False
11,15,0->7,0,7,4,4,1.0,False
11,16,0->7,0,7,4,5,1.25,True
38,42,7->2,7,2,5,4,0.8,False
38,43,7->2,7,2,5,5,1.0,False
38,44,7->2,7,2,5,6,1.2,False
43,47,7->2,7,2,5,4,0.8,False
43,48,7->2,7,2,5,5,1.0,False
43,48,7->2,7,2,5,5,1.0,False
43,48,7->2,7,2,5,5,1.0,False
43,48,7->2,7,2,5,5,1.0,False
43,48,7->2,7,2,5,5,1.0,False
43,48,7->2,7,2,5,5,1.0,False
43,48,7->2,7,2,5,5,1.0,False
43,48,7->2,7,2,5,5,1.0,False
43,48,7->2,7,2,5,5,1.0,False
43,48,7->2,7,2,5,5,1.0,False
43,48,7->2,7,2,5,5,1.0,False
43,49,7->2,7,2,5,6,1.2,False
43,49,7->2,7,2,5,6,1.2,False
43,49,7->2,7,2,5,6,1.2,False
43,49,7->2,7,2,5,6,1.2,False
43,49,7->2,7,2,5,6,1.2,False
