departure_time,arrival_time,edge,origin,dest,predicted_time,actual_time,congestion_ratio,is_congested
61,66,7->0,7,0,5,5,1.0,False
61,66,7->0,7,0,5,5,1.0,False
61,67,7->0,7,0,5,6,1.2,False
61,67,7->0,7,0,5,6,1.2,False
61,67,7->0,7,0,5,6,1.2,False
61,67,7->0,7,0,5,6,1.2,False
61,68,7->0,7,0,5,7,1.4,True
64,69,7->0,7,0,5,5,1.0,False
64,69,7->0,7,0,5,5,1.0,False
67,71,7->0,7,0,5,4,0.8,False
67,71,7->0,7,0,5,4,0.8,False
67,71,7->0,7,0,5,4,0.8,False
83,88,7->0,7,0,5,5,1.0,False
83,88,7->0,7,0,5,5,1.0,False
83,88,7->0,7,0,5,5,1.0,False
83,88,7->0,7,0,5,5,1.0,False
83,88,7->0,7,0,5,5,1.0,False
83,88,7->0,7,0,5,5,1.0,False
83,88,7->0,7,0,5,5,1.0,False
84,89,7->0,7,0,5,5,1.0,False
84,90,7->0,7,0,5,6,1.2,False
84,90,7->0,7,0,5,6,1.2,False
84,90,7->0,7,0,5,6,1.2,False
84,90,7->0,7,0,5,6,1.2,False
84,90,7->0,7,0,5,6,1.2,False
85,90,7->0,7,0,5,5,1.0,False
85,90,7->0,7,0,5,5,1.0,False
85,91,7->0,7,0,5,6,1.2,False
85,91,7->0,7,0,5,6,1.2,False
85,91,7->0,7,0,5,6,1.2,False
87,91,7->0,7,0,5,4,0.8,False
87,91,7->0,7,0,5,4,0.8,False
87,91,7->0,7,0,5,4,0.8,False
85,92,7->0,7,0,5,7,1.4,True
85,92,7->0,7,0,5,7,1.4,True
85,92,7->0,7,0,5,7,1.4,True
86,92,7->0,7,0,5,6,1.2,False
86,92,7->0,7,0,5,6,1.2,False
86,92,7->0,7,0,5,6,1.2,False
86,92,7->0,7,0,5,6,1.2,False
86,92,7->0,7,0,5,6,1.2,False
87,92,7->0,7,0,5,5,1.0,False
87,92,7->0,7,0,5,5,1.0,False
87,92,7->0,7,0,5,5,1.0,False
87,92,7->0,7,0,5,5,1.0,False
87,92,7->0,7,0,5,5,1.0,False
87,92,7->0,7,0,5,5,1.0,False
87,92,7->0,7,0,5,5,1.0,False
87,92,7->0,7,0,5,5,1.0,False
87,92,7->0,7,0,5,5,1.0,False
87,92,7->0,7,0,5,5,1.0,False
88,92,7->0,7,0,5,4,0.8,False
88,92,7->0,7,0,5,4,0.8,False
88,92,7->0,7,0,5,4,0.8,False
88,92,7->0,7,0,5,4,0.8,False
88,92,7->0,7,0,5,4,0.8,False
88,92,7->0,7,0,5,4,0.8,False
88,92,7->0,7,0,5,4,0.8,False
88,92,7->0,7,0,5,4,0.8,False
85,93,7->0,7,0,5,8,1.6,True
85,93,7->0,7,0,5,8,1.6,True
85,93,7->0,7,0,5,8,1.6,True
88,93,7->0,7,0,5,5,1.0,False
88,93,7->0,7,0,5,5,1.0,False
88,93,7->0,7,0,5,5,1.0,False
88,93,7->0,7,0,5,5,1.0,False
88,93,7->0,7,0,5,5,1.0,False
88,93,7->0,7,0,5,5,1.0,False
89,93,7->0,7,0,5,4,0.8,False
89,93,7->0,7,0,5,4,0.8,False
89,93,7->0,7,0,5,4,0.8,False
89,93,7->0,7,0,5,4,0.8,False
85,94,7->0,7,0,5,9,1.8,True
85,94,7->0,7,0,5,9,1.8,True
85,94,7->0,7,0,5,9,1.8,True
85,94,7->0,7,0,5,9,1.8,True
86,94,7->0,7,0,5,8,1.6,True
86,94,7->0,7,0,5,8,1.6,True
89,94,7->0,7,0,5,5,1.0,False
89,94,7->0,7,0,5,5,1.0,False
89,94,7->0,7,0,5,5,1.0,False
89,94,7->0,7,0,5,5,1.0,False
89,94,7->0,7,0,5,5,1.0,False
89,94,7->0,7,0,5,5,1.0,False
89,94,7->0,7,0,5,5,1.0,False
85,95,7->0,7,0,5,10,2.0,True
85,95,7->0,7,0,5,10,2.0,True
85,95,7->0,7,0,5,10,2.0,True
85,95,7->0,7,0,5,10,2.0,True
85,95,7->0,7,0,5,10,2.0,True
86,95,7->0,7,0,5,9,1.8,True
86,95,7->0,7,0,5,9,1.8,True
86,95,7->0,7,0,5,9,1.8,True
90,95,5->0,5,0,5,5,1.0,False
90,95,5->0,5,0,5,5,1.0,False
91,95,5->0,5,0,5,4,0.8,False
91,95,5->0,5,0,5,4,0.8,False
85,96,7->0,7,0,5,11,2.2,True
85,96,7->0,7,0,5,11,2.2,True
86,96,7->0,7,0,5,10,2.0,True
86,96,7->0,7,0,5,10,2.0,True
86,96,7->0,7,0,5,10,2.0,True
91,96,5->0,5,0,5,5,1.0,False
91,96,5->0,5,0,5,5,1.0,False
91,96,5->0,5,0,5,5,1.0,False
86,97,7->0,7,0,5,11,2.2,True
99,103,0->7,0,7,4,4,1.0,False
99,103,0->7,0,7,4,4,1.0,False
99,103,0->7,0,7,4,4,1.0,False
99,103,0->7,0,7,4,4,1.0,False
