Hour,Region_0,Region_1,Region_2,Region_3,Region_4,Region_5,Region_6,Region_7,Total
00:00,9,10,2,9,8,7,4,6,55
01:00,5,10,1,3,5,7,4,5,40
02:00,13,10,3,5,10,10,6,12,69
03:00,7,14,2,7,8,10,7,7,62
04:00,17,24,13,27,24,24,33,15,177
05:00,87,97,42,102,122,64,114,48,676
06:00,184,290,134,279,313,183,307,98,1788
07:00,328,407,251,408,568,313,433,162,2870
08:00,387,493,218,448,514,361,460,194,3075
09:00,290,332,166,297,375,255,303,154,2172
10:00,181,185,89,171,255,168,192,84,1325
11:00,121,166,82,130,131,165,139,99,1033
12:00,220,278,147,244,282,241,268,130,1810
13:00,231,306,169,286,321,244,288,131,1976
14:00,159,204,62,161,223,202,179,105,1295
15:00,135,165,72,130,182,168,108,105,1065
16:00,208,309,107,231,233,282,232,159,1761
17:00,348,439,130,380,370,404,321,271,2663
18:00,364,500,130,410,383,546,340,249,2922
19:00,276,412,111,316,326,401,267,212,2321
20:00,151,212,70,137,159,212,132,139,1212
21:00,127,146,46,87,86,135,91,76,794
22:00,80,101,26,69,102,134,79,76,667
23:00,85,104,25,52,100,138,69,68,641
