Hour,Region_0,Region_1,Region_2,Region_3,Region_4,Region_5,Region_6,Region_7,Total
00:00,6,11,2,2,7,14,5,8,55
01:00,3,9,2,4,5,5,6,6,40
02:00,14,15,3,7,6,15,5,4,69
03:00,10,9,2,9,7,14,6,5,62
04:00,14,27,22,28,14,27,31,14,177
05:00,38,120,78,130,72,89,109,40,676
06:00,102,320,197,366,193,247,285,78,1788
07:00,185,480,333,558,302,432,457,123,2870
08:00,172,514,351,583,323,533,453,146,3075
09:00,130,337,214,376,246,393,364,112,2172
10:00,100,223,118,201,179,243,187,74,1325
11:00,90,175,102,166,128,159,149,64,1033
12:00,140,311,219,255,255,253,279,98,1810
13:00,131,338,209,378,222,305,302,91,1976
14:00,91,162,120,238,186,228,185,85,1295
15:00,128,177,71,156,154,160,152,67,1065
16:00,187,290,107,280,297,214,266,120,1761
17:00,291,414,178,367,514,355,373,171,2663
18:00,369,460,227,414,543,336,423,150,2922
19:00,291,382,171,322,405,249,357,144,2321
20:00,161,182,78,170,197,166,159,99,1212
21:00,120,115,44,86,101,145,98,85,794
22:00,99,131,34,56,91,112,67,77,667
23:00,77,101,28,65,94,129,69,78,641
