Episode,Reward,Served_Demand,Rebalancing_Cost,Steps_Completed
1,18715.42499400001,51695.51067199999,32775.0,121
2,16703.42367600001,49219.58202200001,32271.0,121
4,17740.43233200001,51055.28946399998,32999.0,121
5,18526.72330200002,51542.49663200001,32679.0,121
8,17809.896704000006,50813.401128,32724.0,121
9,18550.597802000004,51798.66915799999,32820.0,121
10,18993.75590000002,51771.61720399997,32393.0,121
11,19410.775260000013,51977.20212799998,32114.0,121
13,18808.749150000007,51400.51983200004,32186.0,121
14,19361.21297000001,51515.92596199998,31795.0,121
15,24778.92112000002,54901.817777999975,29824.0,121
16,17915.898170000015,50180.43703199998,31918.0,121
17,20398.71894,51660.54122600002,31109.0,121
18,20027.82493200001,50794.226666000024,30583.0,121
19,21607.057013999998,52237.49623399997,30400.0,121
20,19689.125652000002,50943.789875999995,30948.0,121
21,21636.54364200001,52208.723630000015,30325.0,121
22,23281.225530000014,53274.766198,29727.0,121
23,20945.261822,51781.82687600001,30565.0,121
24,21136.361426000007,52549.53508599999,31121.0,121
26,19141.29275600001,50727.25225799999,31402.0,121
28,18755.047764000006,50884.974864000025,31764.0,121
29,20699.929310000014,51679.52033800002,30661.0,121
30,21533.398360000007,51859.94245199998,30158.0,121
31,20052.416326000013,51526.95029,31109.0,121
32,20537.559810000002,51382.71677800001,30573.0,121
33,22132.45949800001,52949.48396,30517.0,121
34,19553.764974,50812.911322,30934.0,121
35,20225.700804000007,51437.59706799998,30859.0,121
36,19296.80667600001,50847.419242,31325.0,121
37,17977.33512000001,50399.237778,32111.0,121
38,20601.90637200002,51838.84025000003,30902.0,121
39,20663.39596800001,51764.89559999998,30861.0,121
40,21202.377801999995,52244.313535999994,30724.0,121
41,19566.929464000015,51156.74297399998,31264.0,121
42,18811.79377200001,51060.520068,31913.0,121
43,20848.214992000005,52355.972824000026,31142.0,121
44,17893.288512000006,50306.65748399999,32088.0,121
45,22687.950534000003,53044.97184999999,29983.0,121
46,19893.88870000001,50607.57270200002,30482.0,121
48,18007.852490000005,50724.75765199998,32331.0,121
49,18289.347554000014,50384.54824000002,31839.0,121
50,19786.124306000016,51030.55432799999,30930.0,121
51,20945.47618600001,52065.41970000004,30755.0,121
52,20046.626994000013,51462.673411999975,31120.0,121
53,17227.75635000001,49846.69029800002,32248.0,121
54,19205.712580000003,50956.51455999998,31459.0,121
55,22752.753644000004,52988.11631000001,29892.0,121
56,18411.495256000006,50880.73876800001,32197.0,121
57,20133.891840000004,51251.862460000004,30817.0,121
58,21056.529676000013,52049.23414600001,30723.0,121
59,19659.54231200001,51183.959442000014,31151.0,121
60,19539.762484000006,51324.22634800001,31461.0,121
61,17955.147138000008,50204.94176199998,31963.0,121
62,18780.975662000004,50520.11788800002,31423.0,121
63,18517.788886000002,50559.38632800001,31838.0,121
64,22172.362340000007,52529.440084,30075.0,121
65,22250.46301400001,52933.11974400003,30352.0,121
66,18732.77714200001,50610.22594799999,31670.0,121
67,19302.165598000007,51273.699934,31680.0,121
68,20437.94763,51692.058174000005,31055.0,121
70,20247.659314000008,51951.69801599999,31432.0,121
71,17270.27496200001,50113.41296600002,32516.0,121
72,20209.589986000014,52075.66426000003,31529.0,121
73,19385.027224000016,51653.24743,31903.0,121
74,20575.483908,51938.35388000003,30951.0,121
75,19296.848574,51104.27937600001,31530.0,121
76,20533.912350000017,51647.182926,30792.0,121
77,16304.428004000009,49614.03382599999,32942.0,121
79,19232.616272,51167.00710799998,31699.0,121
80,18520.45839000002,50309.91177799999,31510.0,121
82,18337.55102400001,50073.69748399999,31452.0,121
83,20467.68654600001,51802.489787999984,31076.0,121
85,20157.082818000003,51591.24508600001,31167.0,121
86,18880.642232000006,50666.89165400002,31369.0,121
88,21150.533404000005,52435.78346199999,30944.0,121
89,19413.822610000007,51316.54879400001,31627.0,121
90,19955.957104000012,51233.471679999995,31003.0,121
91,18509.086516000003,50250.35649600001,31490.0,121
92,22703.24740400001,52709.237262,29716.0,121
93,21734.835496000014,52400.87004800002,30416.0,121
94,18020.98621400001,50690.872919999994,32383.0,121
95,19237.057504,51089.05897200001,31620.0,121
96,19830.581948000014,51514.28065600002,31411.0,121
97,18586.397282000013,50904.13193400001,31988.0,121
98,20100.37230000001,51251.30686,30801.0,121
99,19891.629212000014,51156.964892,30989.0,121
101,19021.61819600001,51125.684822,31861.0,121
102,23413.386516000002,53039.16110800002,29424.0,121
103,20400.76170200001,51439.69868999998,30734.0,121
104,18748.03260200001,51068.62216799998,32072.0,121
106,19698.445918000012,51225.38918599999,31189.0,121
107,22725.802799999998,52314.691582,29197.0,121
108,21064.49685000001,51893.577092000014,30545.0,121
109,18853.911306000013,51058.043762,31888.0,121
110,19730.208584000007,51556.06000800001,31492.0,121
111,20176.313292000006,51104.87047599998,30558.0,121
113,20464.019432,51833.186758000025,30986.0,121
114,22730.589400000008,53223.345,30183.0,121
115,19352.591784000004,50377.431594,30833.0,121
116,19774.990922000005,51105.70211599999,31069.0,121
117,18765.546442000006,50850.63899999999,31734.0,121
118,19770.509390000014,51330.229045999964,31475.0,121
119,19805.918652000004,51303.21082800001,31064.0,121
120,19603.003586000013,51324.466149999986,31495.0,121
122,19850.57407400001,51004.34254799997,30850.0,121
123,18464.840094000014,50452.94451199999,31677.0,121
124,17974.465906,49861.240340000004,31646.0,121
125,22649.424112000015,53193.87734599999,30184.0,121
126,18313.90198800001,50737.358047999995,32185.0,121
127,19207.589238,50677.500858,31198.0,121
128,19421.51821800001,50888.099424,31226.0,121
129,22020.25268200001,52431.23488999999,30128.0,121
130,19096.352890000006,50796.417986000015,31377.0,121
131,19577.93717000002,51304.21058799998,31260.0,121
132,22918.440300000002,52953.04868200001,29667.0,121
133,19623.87939200001,51039.56206799999,31107.0,121
134,18014.635832000007,49536.03476200002,31259.0,121
136,19452.637776000014,51570.88993199998,31832.0,121
137,20458.677036000012,51211.503477999984,30552.0,121
138,19324.289948,50979.22539999999,31486.0,121
140,18748.657326000004,50989.435492000004,31969.0,121
141,21098.992862000003,52021.21699,30418.0,121
142,19602.369446000008,51135.85142,31251.0,121
